id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
7314,CDS,cde_fo,GBPUSD,10372,OPTCUR,PE,1.245,GBPUSD27JANUARY231.245PE,GBPUSD23JAN1.245PE,GBPUSD 27JAN23 1.245 PE,27-01-2023,1,0.0001
7315,CDS,cde_fo,USDINR,10373,OPTCUR,PE,83.5,USDINR24MARCH2383.5PE,USDINR2332483.5PE,USDINR 24MAR23 83.5 PE,24-03-2023,1,0.0025
7316,CDS,cde_fo,USDINR,10374,OPTCUR,CE,83.75,USDINR24MARCH2383.75CE,USDINR2332483.75CE,USDINR 24MAR23 83.75 CE,24-03-2023,1,0.0025
7317,CDS,cde_fo,USDINR,10375,OPTCUR,PE,83.75,USDINR24MARCH2383.75PE,USDINR2332483.75PE,USDINR 24MAR23 83.75 PE,24-03-2023,1,0.0025
7318,CDS,cde_fo,USDINR,10376,OPTCUR,CE,79.25,USDINR27DECEMBER2379.25CE,USDINR23DEC79.25CE,USDINR 27DEC23 79.25 CE,27-12-2023,1,0.0025
7319,CDS,cde_fo,JPYINR,10377,OPTCUR,CE,57,JPYINR10MARCH2357CE,JPYINR2331057CE,JPYINR 10MAR23 57 CE,10-03-2023,1,0.0025
7320,CDS,cde_fo,JPYINR,10382,OPTCUR,PE,57,JPYINR10MARCH2357PE,JPYINR2331057PE,JPYINR 10MAR23 57 PE,10-03-2023,1,0.0025
7321,CDS,cde_fo,JPYINR,10383,OPTCUR,CE,57.25,JPYINR10MARCH2357.25CE,JPYINR2331057.25CE,JPYINR 10MAR23 57.25 CE,10-03-2023,1,0.0025
7322,CDS,cde_fo,JPYINR,10384,OPTCUR,CE,55.75,JPYINR17FEBRUARY2355.75CE,JPYINR2321755.75CE,JPYINR 17FEB23 55.75 CE,17-02-2023,1,0.0025
7323,CDS,cde_fo,JPYINR,10385,OPTCUR,PE,55.75,JPYINR17FEBRUARY2355.75PE,JPYINR2321755.75PE,JPYINR 17FEB23 55.75 PE,17-02-2023,1,0.0025
7324,CDS,cde_fo,JPYINR,10386,OPTCUR,PE,57.25,JPYINR10MARCH2357.25PE,JPYINR2331057.25PE,JPYINR 10MAR23 57.25 PE,10-03-2023,1,0.0025
7325,CDS,cde_fo,JPYINR,10387,OPTCUR,CE,57.5,JPYINR10MARCH2357.5CE,JPYINR2331057.5CE,JPYINR 10MAR23 57.5 CE,10-03-2023,1,0.0025
7326,CDS,cde_fo,JPYINR,10388,OPTCUR,PE,57.5,JPYINR10MARCH2357.5PE,JPYINR2331057.5PE,JPYINR 10MAR23 57.5 PE,10-03-2023,1,0.0025
7327,CDS,cde_fo,JPYINR,10389,OPTCUR,CE,57.75,JPYINR10MARCH2357.75CE,JPYINR2331057.75CE,JPYINR 10MAR23 57.75 CE,10-03-2023,1,0.0025
7328,CDS,cde_fo,JPYINR,10390,OPTCUR,PE,57.75,JPYINR10MARCH2357.75PE,JPYINR2331057.75PE,JPYINR 10MAR23 57.75 PE,10-03-2023,1,0.0025
7329,CDS,cde_fo,JPYINR,10391,OPTCUR,CE,58,JPYINR10MARCH2358CE,JPYINR2331058CE,JPYINR 10MAR23 58 CE,10-03-2023,1,0.0025
